,influencer_name,follower_name
12307,The Cure,AFI
12308,Green Day,AFI
12309,Rob Zombie,AFI
12310,Minor Threat,AFI
12311,The Offspring,AFI
12312,7 Seconds,AFI
12313,Sunny Day Real Estate,AFI
12314,Strung Out,AFI
12315,Jawbreaker,AFI
12316,Misfits,AFI
12317,Elvis Costello,The Weakerthans
12318,The Clash,The Weakerthans
12319,Billy Bragg,The Weakerthans
12320,The Kinks,The Weakerthans
12321,Eels,The Weakerthans
12322,Jawbox,The Weakerthans
12323,Dinosaur Jr.,The Weakerthans
12324,Neil Young,The Weakerthans
12325,Mission of Burma,The Weakerthans
12326,Modest Mouse,The Weakerthans
12327,Bad Religion,AFI
12328,Built to Spill,The Weakerthans
12329,Morrissey,The Weakerthans
12330,Guided by Voices,The Weakerthans
12331,Pavement,The Weakerthans
12332,Patty Griffin,Miranda Lambert
12333,Fairport Convention,Young Marble Giants
12334,Tuxedomoon,Young Marble Giants
12335,John Cale,Young Marble Giants
12336,Robert Wyatt,Young Marble Giants
12337,The Modern Lovers,Young Marble Giants
12338,Brian Eno,Young Marble Giants
12339,R.E.M.,Miracle Legion
12340,The Velvet Underground,Young Marble Giants
12341,Bob Dylan,Thin Lizzy
12342,Cream,Thin Lizzy
12343,Chris Montez,The Rivieras
12344,Led Zeppelin,Thin Lizzy
12345,Deep Purple,Thin Lizzy
12346,Jeff Beck,Thin Lizzy
12347,Van Morrison,Thin Lizzy
12348,Jimi Hendrix,Thin Lizzy
12349,Small Faces,Thin Lizzy
12350,Widespread Panic,Oysterhead
12351,Bon Jovi,Mr. Big
12352,Soft Machine,Caribou
12353,Gene Vincent,The Shadows
12354,Giorgio Moroder,Air
12355,Burt Bacharach,Air
12356,Bobby Darin,Tom Jones
12357,The Sea and Cake,Minus the Bear
12358,Beck,Air
12359,Electric Light Orchestra,Air
12360,Serge Gainsbourg,Air
12361,Badfinger,'Til Tuesday
12362,Blondie,'Til Tuesday
12363,Gary Numan,Air
12364,The Uniques,The Slits
12365,The Shangri-Las,The Slits
12366,Sex Pistols,The Slits
12367,The Clash,The Slits
12368,The Beatles,The Rembrandts
12369,The Rockets,Air
12370,The Byrds,The Rembrandts
12371,R.E.M.,The Rembrandts
12372,New Order,Air
12373,Roxy Music,Adam Ant
12374,The Art of Noise,Air
12375,The Beatles,Milton Nascimento
12376,The Rolling Stones,Air
12377,Soft Machine,Atomic Rooster
12378,The Beatles,Aimee Mann
12379,The Byrds,Aimee Mann
12380,The Cars,Air
12381,Can,Air
12382,Polvo,Minus the Bear
12383,Heaven 17,Air
12384,Cursive,Minus the Bear
12385,Spoon,Minus the Bear
12386,Pink Floyd,Air
12387,Television,Minus the Bear
12388,The Velvet Underground,Mink DeVille
12389,Bruce Springsteen,Mink DeVille
12390,Elvis Presley,Mink DeVille
12391,Creed,Adema
12392,Nine Inch Nails,Adema
12393,Korn,Adema
12394,The Beatles,Air
12395,Saint Etienne,Air
12396,Ric Ocasek,Air
12397,The Rolling Stones,Mink DeVille
12398,Crowded House,The Rembrandts
12399,The Everly Brothers,The Rembrandts
12400,Fugazi,Minus the Bear
12401,Silver Apples,Caribou
12402,Cliff Richard,Tom Jones
12403,Eddie Cochran,The Shadows
12404,Elvis Presley,Tom Jones
12405,Dion,Tom Jones
12406,Phil Collins,Adam Ant
12407,Neil Sedaka,Tom Jones
12408,Burt Bacharach,Tom Jones
12409,The Beatles,Tom Jones
12410,Thomas Dolby,Caribou
12411,The Free Design,Caribou
12412,T. Rex,Adam Ant
12413,Cornelius,Caribou
12414,The Durutti Column,Caribou
12415,Radiohead,Caribou
12416,Nick Drake,Caribou
12417,The Zombies,Caribou
12418,Brian Eno,Caribou
12419,Can,Caribou
12420,Little Richard,The Shadows
12421,The House of Love,Caribou
12422,Fleetwood Mac,Atlanta Rhythm Section
12423,The Zombies,Aimee Mann
12424,Randy Newman,Aimee Mann
12425,David Bowie,Adam Ant
12426,Sex Pistols,Adam Ant
12427,Brian Wilson,Aimee Mann
12428,The Left Banke,Caribou
12429,My Bloody Valentine,Caribou
12430,Crowded House,Toad the Wet Sprocket
12431,U2,Toad the Wet Sprocket
12432,Prefab Sprout,Toad the Wet Sprocket
12433,Love,Toad the Wet Sprocket
12434,Harry Nilsson,Aimee Mann
12435,R.E.M.,Toad the Wet Sprocket
12436,The Smithereens,Toad the Wet Sprocket
12437,The Smiths,Toad the Wet Sprocket
12438,Simon & Garfunkel,Aimee Mann
12439,The Beach Boys,Aimee Mann
12440,Badfinger,Aimee Mann
12441,Bob Dylan,Aimee Mann
12442,The Kinks,Aimee Mann
12443,Beck,Aimee Mann
12444,Carole King,Aimee Mann
12445,The Replacements,Toad the Wet Sprocket
12446,Cream,Ace Frehley
12447,Classics IV,Atlanta Rhythm Section
12448,The Doors,The Seeds
12449,Further Seems Forever,Mayday Parade
12450,Fall Out Boy,Mayday Parade
12451,Weezer,Mayday Parade
12452,Sunny Day Real Estate,Mayday Parade
12453,The All-American Rejects,Mayday Parade
12454,Jimmy Eat World,Mayday Parade
12455,Neil Young,The Knocks
12456,The Apples in Stereo,Someone Still Loves You Boris Yeltsin
12457,Deep Purple,The Sword
12458,The Beach Boys,Someone Still Loves You Boris Yeltsin
12459,Big Star,Someone Still Loves You Boris Yeltsin
12460,Beulah,Someone Still Loves You Boris Yeltsin
12461,Elliott Smith,Someone Still Loves You Boris Yeltsin
12462,Weezer,Someone Still Loves You Boris Yeltsin
12463,Wilco,Someone Still Loves You Boris Yeltsin
12464,Of Montreal,Someone Still Loves You Boris Yeltsin
12465,The Zombies,Someone Still Loves You Boris Yeltsin
12466,The Beatles,Someone Still Loves You Boris Yeltsin
12467,The Doors,The Tubes
12468,Green Day,Mayday Parade
12469,Black Sabbath,The Sword
12470,Ozzy Osbourne,The Sword
12471,Rainbow,The Sword
12472,Chuck Berry,The Searchers
12473,Elvis Presley,The Searchers
12474,The Kinks,The Smiths
12475,Buddy Holly,The Searchers
12476,The Byrds,The Searchers
12477,The Beatles,The Searchers
12478,The Clash,The Slackers
12479,Madness,The Slackers
12480,The Toasters,The Slackers
12481,Frank Zappa,The Tubes
12482,The Specials,The Slackers
12483,T. Rex,The Smiths
12484,Television Personalities,The Smiths
12485,Television,The Smiths
12486,The Jam,The Smiths
12487,Todd Rundgren,20/20
12488,BjÃ¶rk,Alice Smith
12489,Moby Grape,The Smithereens
12490,Bruce Springsteen,The Knocks
12491,Melvins,The Sword
12492,The Selecter,The Slackers
12493,The Everly Brothers,The Searchers
12494,The Move,The Tubes
12495,Celtic Frost,The Sword
12496,Blue Cheer,The Sword
12497,Iron Maiden,The Sword
12498,Led Zeppelin,The Sword
12499,Bathory,The Sword
12500,The Who,The Smithereens
12501,The Stranglers,The Smithereens
12502,Big Star,Pixies
12503,Dinosaur Jr.,Band of Horses
12504,Suicide,The Human League
12505,David Bowie,The Human League
12506,Brian Eno,The Human League
12507,Giorgio Moroder,The Human League
12508,Silver Apples,The Human League
12509,Ultravox,The Human League
12510,Roxy Music,The Human League
12511,Leonard Cohen,Mike Reid
12512,Randy Newman,Mike Reid
12513,America,Band of Horses
12514,Chicago,Band of Horses
12515,Sleep,The Sword
12516,Elton John,James Morrison
12517,The Beatles,James Morrison
12518,Nick Drake,James Morrison
12519,PJ Harvey,Bat for Lashes
12520,Metallica,Hurt
12521,Fiona Apple,Bat for Lashes
12522,Siouxsie and the Banshees,Bat for Lashes
12523,SinÃ©ad O'Connor,Bat for Lashes
12524,BjÃ¶rk,Bat for Lashes
12525,Tori Amos,Bat for Lashes
12526,Cat Power,Bat for Lashes
12527,Kate Bush,Bat for Lashes
12528,Dio,The Sword
12529,Nico,Bat for Lashes
12530,Badly Drawn Boy,Gnarls Barkley
12531,Violent Femmes,Gnarls Barkley
12532,Pearl Jam,Hurt
12533,Tool,Hurt
12534,Shadows Fall,The Sword
12535,The Fray,Hurt
12536,Elliott Smith,James Morrison
12537,David Gray,James Morrison
12538,Van Morrison,James Morrison
12539,Stevie Nicks,Bat for Lashes
12540,Elliott Smith,Band of Horses
12541,The Searchers,The Smithereens
12542,Nick Lowe,The Smithereens
12543,Eurythmics,Republica
12544,Pet Shop Boys,Republica
12545,New Order,Republica
12546,Electronic,Republica
12547,The Beach Boys,Relient K
12548,Switchfoot,Relient K
12549,Green Day,Relient K
12550,Ben Folds,Relient K
12551,Weezer,Relient K
12552,NOFX,Relient K
12553,The Replacements,Relient K
12554,MxPx,Relient K
12555,The Kinks,Ocean Colour Scene
12556,blink-182,Relient K
12557,Pearl Jam,Revis
12558,Roy Harper,Renaissance
12559,The Moody Blues,Renaissance
12560,Yes,Renaissance
12561,The Beatles,Renaissance
12562,Paul Anka,Michael BublÃ©
12563,Minor Threat,Relient K
12564,Bobby Darin,Michael BublÃ©
12565,Eric Clapton,Ocean Colour Scene
12566,Natalie Imbruglia,Michelle Branch
12567,Debbie Gibson,Michelle Branch
12568,Alanis Morissette,Michelle Branch
12569,Dave Mason,Michelle Branch
12570,T. Rex,Ric Ocasek
12571,Lou Reed,Ric Ocasek
12572,Small Faces,Ocean Colour Scene
12573,Jonathan Richman,Ric Ocasek
12574,David Bowie,Ric Ocasek
12575,Jorma Kaukonen,Michael Hedges
12576,Buddy Holly,Ric Ocasek
12577,The Beatles,Ric Ocasek
12578,Silver Apples,Ric Ocasek
12579,The Velvet Underground,Ric Ocasek
12580,Roxy Music,Ric Ocasek
12581,Iggy Pop,Ric Ocasek
12582,Todd Rundgren,Ric Ocasek
12583,The Beach Boys,The Olivia Tremor Control
12584,Bee Gees,The Olivia Tremor Control
12585,The Teardrop Explodes,Ocean Colour Scene
12586,Brian Eno,Ric Ocasek
12587,The Rolling Stones,The Smithereens
12588,Jimi Hendrix,Michael Hedges
12589,Paul Weller,Ocean Colour Scene
12590,Badfinger,20/20
12591,The Kinks,20/20
12592,Cheap Trick,20/20
12593,The Beau Brummels,20/20
12594,Tommy James & the Shondells,20/20
12595,The Who,20/20
12596,The Beatles,20/20
12597,The Rolling Stones,20/20
12598,Magazine,The Smiths
12599,The Durutti Column,The Smiths
12600,Werly Fairburn,Jim Reeves
12601,Jackie DeShannon,The Searchers
12602,The Zombies,The Smithereens
12603,The Byrds,The Smithereens
12604,The Beatles,The Smithereens
12605,The Left Banke,The Smithereens
12606,Black Sabbath,The Smithereens
12607,The Cowsills,The Smithereens
12608,Emitt Rhodes,The Smithereens
12609,The Beach Boys,20/20
12610,The Young Rascals,The Soul Survivors
12611,The Rascals,The Soul Survivors
12612,The Rolling Stones,The Smiths
12613,Faces,Ocean Colour Scene
12614,The Jam,Ocean Colour Scene
12615,The Who,The Romantics
12616,The Beach Boys,Pixies
12617,David Bowie,The Tubes
12618,Roxy Music,The Smiths
12619,Sandie Shaw,The Smiths
12620,Scott Walker,The Smiths
12621,Joy Division,The Smiths
12622,Traffic,Ocean Colour Scene
12623,The Psychedelic Furs,The Smiths
12624,The Monochrome Set,The Smiths
12625,Orange Juice,The Smiths
12626,David Bowie,The Smiths
12627,The Teardrop Explodes,The Smiths
12628,Wire,The Smiths
12629,The Beatles,The Smiths
12630,Felt,The Smiths
12631,New York Dolls,The Smiths
12632,Echo & the Bunnymen,The Smiths
12633,Sex Pistols,The Smiths
12634,Ned's Atomic Dustbin,Band of Horses
12635,Van der Graaf Generator,The Human League
12636,R.E.M.,Band of Horses
12637,Sex Pistols,MÃ¶tley CrÃ¼e
12638,Scorpions,MÃ¶tley CrÃ¼e
12639,Sammy Hagar,MÃ¶tley CrÃ¼e
12640,Dio,MÃ¶tley CrÃ¼e
12641,Van Halen,MÃ¶tley CrÃ¼e
12642,Johnny Thunders,MÃ¶tley CrÃ¼e
12643,New York Dolls,Aerosmith
12644,Humble Pie,Aerosmith
12645,Brownsville Station,MÃ¶tley CrÃ¼e
12646,Simon & Garfunkel,"10,000 Maniacs"
12647,Janis Joplin,Aerosmith
12648,Deep Purple,Aerosmith
12649,Free,Aerosmith
12650,The Beatles,"10,000 Maniacs"
12651,The Byrds,"10,000 Maniacs"
12652,The dB's,"10,000 Maniacs"
12653,Neil Young,"10,000 Maniacs"
12654,R.E.M.,"10,000 Maniacs"
12655,Jeff Beck,Aerosmith
12656,Ozzy Osbourne,MÃ¶tley CrÃ¼e
12657,David Bowie,MÃ¶tley CrÃ¼e
12658,Sweet,MÃ¶tley CrÃ¼e
12659,Roger McGuinn,Tom Petty
12660,The Ventures,The Remains
12661,Soul Coughing,(hed) p.e.
12662,Body Count,(hed) p.e.
12663,Kid Rock,(hed) p.e.
12664,Biohazard,(hed) p.e.
12665,Korn,(hed) p.e.
12666,Ben Folds,Yael NaÃ¯m
12667,The Exploited,Special Duties
12668,Simply Red,Seal
12669,Joy Division,"10,000 Maniacs"
12670,Aerosmith,MÃ¶tley CrÃ¼e
12671,The Rolling Stones,MÃ¶tley CrÃ¼e
12672,New York Dolls,MÃ¶tley CrÃ¼e
12673,Loverboy,MÃ¶tley CrÃ¼e
12674,Eagles,Alan Jackson
12675,Black Sabbath,MÃ¶tley CrÃ¼e
12676,The Beatles,MÃ¶tley CrÃ¼e
12677,Ted Nugent,MÃ¶tley CrÃ¼e
12678,Slade,MÃ¶tley CrÃ¼e
12679,Mott the Hoople,MÃ¶tley CrÃ¼e
12680,The Rolling Stones,Aerosmith
12681,The Rolling Stones,The Remains
12682,Joni Mitchell,"10,000 Maniacs"
12683,Fleetwood Mac,"10,000 Maniacs"
12684,Butthole Surfers,Toadies
12685,HÃ¼sker DÃ¼,Toadies
12686,Black Sabbath,Toadies
12687,Pixies,Toadies
12688,The Kinks,'Til Tuesday
12689,The 5th Dimension,SWV
12690,Yaz,Mirwais
12691,Led Zeppelin,MÃ¶tley CrÃ¼e
12692,The Human League,Mirwais
12693,Cheap Trick,MÃ¶tley CrÃ¼e
12694,Jimmy Buffett,Alan Jackson
12695,Kiss,MÃ¶tley CrÃ¼e
12696,Blue Ã–yster Cult,MÃ¶tley CrÃ¼e
12697,Alice Cooper,MÃ¶tley CrÃ¼e
12698,T. Rex,MÃ¶tley CrÃ¼e
12699,The Rolling Stones,The Seeds
12700,The Beatles,The Seeds
12701,The Yardbirds,The Seeds
12702,The Mothers of Invention,The Seeds
12703,Mudhoney,Toadies
12704,Nirvana,Toadies
12705,Meat Puppets,Toadies
12706,Led Zeppelin,Toadies
12707,The Yardbirds,Aerosmith
12708,The Who,Aerosmith
12709,Fairport Convention,"10,000 Maniacs"
12710,The Beatles,Aerosmith
12711,Bob Dylan,"10,000 Maniacs"
12712,Elvis Costello,"10,000 Maniacs"
12713,Judas Priest,MÃ¶tley CrÃ¼e
12714,Don Henley,Alan Jackson
12715,Johnny Thunders & the Heartbreakers,MÃ¶tley CrÃ¼e
12716,Jimi Hendrix,Aerosmith
12717,Madonna,SWV
12718,Peter Hammill,'Til Tuesday
12719,Squeeze,'Til Tuesday
12720,The Beatles,'Til Tuesday
12721,XTC,'Til Tuesday
12722,David Bowie,'Til Tuesday
12723,Metallica,At the Gates
12724,Entombed,At the Gates
12725,Pretenders,'Til Tuesday
12726,Creedence Clearwater Revival,Toadies
12727,Queen,'Til Tuesday
12728,The Animals,The Remains
12729,The Yardbirds,The Remains
12730,Chuck Berry,The Remains
12731,Pretenders,Pixies
12732,David Bowie,Pixies
12733,The Stooges,Pixies
12734,HÃ¼sker DÃ¼,Pixies
12735,Gary Numan,The Human League
12736,Wire,Pixies
12737,The Beatles,Pixies
12738,Dick Dale,Pixies
12739,Pere Ubu,Pixies
12740,The Velvet Underground,Pixies
12741,Richard Hell,Pixies
12742,Iggy Pop,Pixies
12743,X,Pixies
12744,The Nerves,The Producers
12745,The Beatles,The Producers
12746,The Clash,The Human League
12747,King Crimson,The Human League
12748,Slayer,Otep
12749,Celtic Frost,Otep
12750,Ramones,Pixies
12751,Minutemen,Pixies
12752,Mission of Burma,Pixies
12753,Sex Pistols,Pixies
12754,Neil Young,Band of Horses
12755,Modest Mouse,Band of Horses
12756,Built to Spill,Band of Horses
12757,Bright Eyes,Band of Horses
12758,Daryl Hall & John Oates,Band of Horses
12759,Pavement,Band of Horses
12760,Gram Parsons,Band of Horses
12761,Bob Dylan,Los Secretos
12762,Jackson Browne,Los Secretos
12763,The Turtles,The Smithereens
12764,Pantera,Otep
12765,Sex Pistols,The Human League
12766,Genesis,The Human League
12767,Korn,Otep
12768,The Who,Pixies
12769,The Cars,Pixies
12770,The Gun Club,Pixies
12771,The Kinks,Pixies
12772,Cheap Trick,Pixies
12773,Neil Young,Pixies
12774,Alice in Chains,Otep
12775,The Bobby Fuller Four,The Smithereens
12776,MÃ¶tley CrÃ¼e,(hed) p.e.
12777,Tom Morello,(hed) p.e.
12778,311,(hed) p.e.
12779,MC 900 Ft. Jesus,(hed) p.e.
12780,Melvins,Otep
12781,The Waterboys,The Saw Doctors
12782,Nine Inch Nails,Otep
12783,Nirvana,Otep
12784,Sepultura,Otep
12785,Siouxsie and the Banshees,Otep
12786,Slipknot,Otep
12787,Buddy Holly,The Smithereens
12788,Skinny Puppy,Otep
12789,Billy Bragg,The Saw Doctors
12790,The Pogues,The Saw Doctors
12791,The Proclaimers,The Saw Doctors
12792,Bruce Springsteen,The Saw Doctors
12793,Hothouse Flowers,The Saw Doctors
12794,George Harrison,The Rutles
12795,Faith No More,(hed) p.e.
12796,The Beatles,The Rutles
12797,Bo Diddley,The Remains
12798,Black Sabbath,Otep
12799,Eddie Cochran,Alan Jackson
12800,Bruce Springsteen,The Smithereens
12801,The Nerves,The Smithereens
12802,Rage Against the Machine,(hed) p.e.
12803,Blondie,Missing Persons
12804,Talking Heads,Missing Persons
12805,Pat Benatar,Missing Persons
12806,Gary Numan,Missing Persons
12807,The Police,Missing Persons
12808,Orchestral Manoeuvres in the Dark,Missing Persons
12809,The Beach Boys,The Smithereens
12810,Big Star,The Smithereens
12811,The Move,The Smithereens
12812,Elvis Costello,The Smithereens
12813,Primus,(hed) p.e.
12814,The Kinks,The Smithereens
12815,Cheap Trick,The Smithereens
12816,The Beau Brummels,The Smithereens
12817,Flamin' Groovies,The Smithereens
12818,Ringo Starr,The Smithereens
12819,Love,The Smithereens
12820,NRBQ,The Smithereens
12821,The Radiators,The Smithereens
12822,The Clash,The Smithereens
12823,Jimmy Page,Ace Frehley
12824,Bruce Springsteen,Thin Lizzy
12825,The Starting Line,The Dangerous Summer
12826,Gang of Four,YACHT
12827,Depeche Mode,YACHT
12828,Happy Mondays,YACHT
12829,Liquid Liquid,YACHT
12830,Sweet,Ramones
12831,The Rivieras,Ramones
12832,The Art of Noise,YACHT
12833,Steely Dan,Bruce Hornsby
12834,Bob Seger,Bruce Hornsby
12835,Sham 69,The Business
12836,Simon & Garfunkel,Strawberry Alarm Clock
12837,Sex Pistols,The Pogues
12838,The Kinks,Strawberry Alarm Clock
12839,The Who,Strawberry Alarm Clock
12840,The Zombies,Strawberry Alarm Clock
12841,The Animals,Strawberry Alarm Clock
12842,The Beatles,Strawberry Alarm Clock
12843,The Rolling Stones,Strawberry Alarm Clock
12844,Siouxsie and the Banshees,Strawberry Switchblade
12845,Bow Wow Wow,YACHT
12846,Soft Cell,YACHT
12847,Neil Young,Bruce Cockburn
12848,Nick Drake,Bruce Cockburn
12849,Little Feat,Eric Church
12850,MC5,Ramones
12851,Bay City Rollers,Ramones
12852,Chuck Berry,Ramones
12853,The Amboy Dukes,Ramones
12854,The Beach Boys,Ramones
12855,John Prine,Eric Church
12856,Hilary Duff,Jordan Pruitt
12857,The Everly Brothers,The Byrds
12858,Van Morrison,The Pogues
12859,1910 Fruitgum Company,Ramones
12860,The Beach Boys,The Byrds
12861,Generation X,The Business
12862,Sex Pistols,The Business
12863,The Vibrators,The Business
12864,Stiff Little Fingers,The Business
12865,The Band,Bruce Cockburn
12866,Bob Dylan,Bruce Cockburn
12867,Leonard Cohen,Bruce Cockburn
12868,Joni Mitchell,Bruce Cockburn
12869,The Archies,Ramones
12870,The Band,Eric Church
12871,Chrome,Butthole Surfers
12872,Lou Reed,The Pogues
12873,Robert Wyatt,The Raincoats
12874,The Kinks,The Raincoats
12875,The Clash,The Raincoats
12876,Elton John,Bruce Hornsby
12877,Leon Russell,Bruce Hornsby
12878,Roy Orbison,The Pogues
12879,Eddie & the Hot Rods,The Business
12880,The Clash,The Business
12881,Sandie Shaw,Amy Winehouse
12882,Sheena Easton,Britney Spears
12883,Cher,Britney Spears
12884,Cyndi Lauper,Britney Spears
12885,Madonna,Britney Spears
12886,Samantha Fox,Britney Spears
12887,Roxette,Britney Spears
12888,Nancy Sinatra,Britney Spears
12889,New Kids on the Block,Britney Spears
12890,The Osmonds,Britney Spears
12891,Milli Vanilli,Britney Spears
12892,Daryl Hall & John Oates,Bruce Hornsby
12893,Sex Pistols,The Raincoats
12894,Patti Smith,The Raincoats
12895,The Velvet Underground,The Raincoats
12896,The Cramps,Butthole Surfers
12897,Frank Zappa,Butthole Surfers
12898,Led Zeppelin,Butthole Surfers
12899,Devo,Butthole Surfers
12900,Roky Erickson,Butthole Surfers
12901,Jerry Lee Lewis,Butthole Surfers
12902,The Red Krayola,Butthole Surfers
12903,The Hollies,Strawberry Alarm Clock
12904,Grateful Dead,Bruce Hornsby
12905,Dexys Midnight Runners,The Pogues
12906,Bob Weir,Bruce Hornsby
12907,Billy Joel,Bruce Hornsby
12908,Bonnie Raitt,Bruce Hornsby
12909,Eagles,Bruce Hornsby
12910,Don Henley,Bruce Hornsby
12911,Eric Clapton,Bruce Hornsby
12912,Bruce Springsteen,Bruce Hornsby
12913,The Trashmen,Ramones
12914,Alice Cooper,Ramones
12915,T. Rex,Ramones
12916,Tom Waits,The Pogues
12917,Olivia Newton-John,Britney Spears
12918,Gram Parsons,The Byrds
12919,Jefferson Airplane,The Byrds
12920,Depeche Mode,The Bravery
12921,New Order,The Bravery
12922,Nada Surf,The Bravery
12923,The Kinks,The Proclaimers
12924,The Jam,The Proclaimers
12925,Billy Bragg,The Proclaimers
12926,Bob Dylan,The Proclaimers
12927,The Everly Brothers,The Proclaimers
12928,The Searchers,The Records
12929,Ride,Broken Social Scene
12930,Luna,Broken Social Scene
12931,Jeff Beck,Stevie Ray Vaughan
12932,Elvis Presley,Brian Wilson
12933,Death,Suffocation
12934,Ritchie Valens,Brian Wilson
12935,The Ronettes,Brian Wilson
12936,Buddy Holly,Brian Wilson
12937,Roy Orbison,Brian Wilson
12938,Anvil,Anthrax
12939,Echo & the Bunnymen,The Bravery
12940,The Cure,The Bravery
12941,Duran Duran,The Bravery
12942,The Cars,The Bravery
12943,Def Leppard,Britny Fox
12944,AC/DC,Britny Fox
12945,The Byrds,The Records
12946,The Beau Brummels,The Records
12947,Aerosmith,Britny Fox
12948,The Flaming Lips,Broken Social Scene
12949,The House of Love,Broken Social Scene
12950,The Kinks,The Records
12951,The Cure,Broken Social Scene
12952,Fear,Anthrax
12953,Cocteau Twins,Broken Social Scene
12954,The Beatles,The Records
12955,Dinosaur Jr.,Broken Social Scene
12956,Cake,The Bravery
12957,Sparks,Bronski Beat
12958,The Associates,Bronski Beat
12959,Culture Club,Bronski Beat
12960,David Bowie,Bronski Beat
12961,Roxy Music,Bronski Beat
12962,The Fixx,The Bravery
12963,Simon & Garfunkel,Joshua Radin
12964,The Rolling Stones,The Byrds
12965,Cream,Stevie Ray Vaughan
12966,MotÃ¶rhead,Anthrax
12967,Nirvana,Seether
12968,Candlebox,Seether
12969,Deftones,Seether
12970,Big Star,The Records
12971,The Beach Boys,The Records
12972,Led Zeppelin,The Power Station
12973,T. Rex,The Power Station
12974,Anthrax,Suffocation
12975,Deftones,Stone Sour
12976,Dusty Springfield,Amy Winehouse
12977,Carole King,Amy Winehouse
12978,The Ronettes,Ramones
12979,Bob Dylan,The Byrds
12980,The Music Machine,Ramones
12981,The Shangri-Las,Ramones
12982,Carole King,The Byrds
12983,Buddy Holly,The Byrds
12984,Jonathan Richman,Ramones
12985,The Beatles,The Byrds
12986,Nine Inch Nails,Seether
12987,Badfinger,The Records
12988,Kid Rock,Seether
12989,Pearl Jam,Seether
12990,Sex Pistols,Anthrax
12991,Venom,Anthrax
12992,Judas Priest,Anthrax
12993,Discharge,Anthrax
12994,Iron Maiden,Anthrax
12995,Edgar Winter,Stevie Ray Vaughan
12996,Kiss,Anthrax
12997,Eric Clapton,Stevie Ray Vaughan
12998,Bad Brains,Anthrax
12999,Black Sabbath,Anthrax
13000,Del Shannon,Brian Wilson
13001,Radiohead,Broken Social Scene
13002,Metallica,Suffocation
13003,New Order,Broken Social Scene
13004,Yo La Tengo,Broken Social Scene
13005,The Hollies,The Records
13006,Sonic Youth,Broken Social Scene
13007,Pixies,Broken Social Scene
13008,My Bloody Valentine,Broken Social Scene
13009,Soundgarden,Seether
13010,Chuck Berry,Brian Wilson
13011,Ace of Base,Britney Spears
13012,1910 Fruitgum Company,Britney Spears
13013,Backstreet Boys,Britney Spears
13014,Tom Petty,Todd Snider
13015,The Band,The Samples
13016,Joey Dee,The Rascals
13017,The Righteous Brothers,The Rascals
13018,Christina Aguilera,Ashlee Simpson
13019,Faith No More,Tom Morello
13020,John Frusciante,Tom Morello
13021,Jimi Hendrix,Tom Morello
13022,Bruce Springsteen,Tom Morello
13023,Tom Waits,Tom Morello
13024,The Velvet Underground,Pretenders
13025,Patti Smith,Pretenders
13026,The Byrds,Pretenders
13027,Swans,My Life with the Thrill Kill Kult
13028,Ministry,My Life with the Thrill Kill Kult
13029,Faith No More,Mushroomhead
13030,Marilyn Manson,Mushroomhead
13031,Billy Thorpe,Aldo Nova
13032,Deep Purple,Aldo Nova
13033,Sting,The Samples
13034,Grateful Dead,The Samples
13035,Bad Religion,Thrice
13036,Rites of Spring,Thrice
13037,Talking Heads,They Might Be Giants
13038,The Dickies,They Might Be Giants
13039,Elvis Costello,They Might Be Giants
13040,Brian Eno,Aphex Twin
13041,Throbbing Gristle,Aphex Twin
13042,The Beatles,The Rascals
13043,The Art of Noise,Aphex Twin
13044,P!nk,Ashlee Simpson
13045,Bob Dylan,Todd Snider
13046,Rush,Aldo Nova
13047,The Human League,The Rentals
13048,Devo,The Rentals
13049,Bruce Springsteen,Todd Snider
13050,Duran Duran,The Rentals
13051,The Cars,The Rentals
13052,Golden Earring,Anouk
13053,Bobby Brown,Another Bad Creation
13054,Deftones,Thrice
13055,Jawbreaker,Thrice
13056,Sunny Day Real Estate,Thrice
13057,Jimmy Buffett,Todd Snider
13058,Frank Zappa,They Might Be Giants
13059,Robin Trower,Aldo Nova
13060,The Who,Pretenders
13061,Bob Dylan,Tom Morello
13062,Alanis Morissette,Ashlee Simpson
13063,Mandy Moore,Ashlee Simpson
13064,REO Speedwagon,Mr. Mister
13065,Pet Shop Boys,Metro Station
13066,The Killers,Metro Station
13067,The All-American Rejects,Metro Station
13068,Death Cab for Cutie,Metro Station
13069,Saves the Day,Four Year Strong
13070,New Found Glory,Four Year Strong
13071,Blue Ã–yster Cult,Monster Magnet
13072,Blue Cheer,Monster Magnet
13073,Gorilla Biscuits,Four Year Strong
13074,Alice in Chains,Monster Magnet
13075,Alice Cooper,Monster Magnet
13076,Soundgarden,Monster Magnet
13077,King Crimson,Brand X
13078,ABBA,Ace of Base
13079,Bananarama,Ace of Base
13080,The Rolling Stones,Pretenders
13081,Steppenwolf,Montrose
13082,The Tokens,Brian Eno
13083,Faces,Montrose
13084,The 5th Dimension,Ashford & Simpson
13085,Carole King,Ashford & Simpson
13086,New York Dolls,Pretenders
13087,Jimmy Page,Tom Morello
13088,Dion,The Rascals
13089,The Clash,Tom Morello
13090,Bobby Darin,The Rascals
13091,The Rolling Stones,Montrose
13092,The Who,Montrose
13093,Styx,Aldo Nova
13094,Jimi Hendrix,Montrose
13095,Jimi Hendrix,Brian Eno
13096,Buddy Holly,Brian Eno
13097,Deep Purple,Montrose
